ID,ACUSADO,TIPO_VEHICULO_ACUSADO,MARCA_VEHICULO_ACUSADO,MODELO_VEHICULO_ACUSADO,COLECTIVO_ACUSADO,INTERNO_ACUSADO,SEXO_ACUSADO,EDAD_ACUSADO,repetido
1,CONDUCTOR,AUTO PARTICULAR,RENAULT,19,,,Masculino,35,
2,CONDUCTOR,TAXI/REMIS,FIAT,SIENA,,,Masculino,51,
3,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,POLO,,,Masculino,22,
3,CONDUCTOR,MOTO,YAMAHA,NO HAY DATOS,,,Masculino,22,
4,CONDUCTOR,TAXI/REMIS,CHEVROLET,CORSA,,,Masculino,31,
5,CONDUCTOR,AUTO PARTICULAR,FIAT,SIENA,,,Masculino,29,
6,CONDUCTOR,AUTO PARTICULAR,SIN DATOS,NO HAY DATOS,,,Masculino,999,
7,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,FOX,,,Masculino,24,
8,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,GOL,,,No hay datos,999,
9,CONDUCTOR,AUTO PARTICULAR,FORD,MONDEO,,,Masculino,29,
10,CONDUCTOR,TAXI/REMIS,SIN DATOS,NO HAY DATOS,,,Masculino,999,
10,CONDUCTOR,AUTO (no se especifica si es particular o de alquiler),PEUGEOT,307,,,Masculino,999,
11,CONDUCTOR,AUTO (no se especifica si es particular o de alquiler),RENAULT,NO HAY DATOS,,,Masculino,999,
12,CONDUCTOR,AUTO PARTICULAR,HONDA,CIVIC,,,Femenino,25,
13,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,FOX,,,Femenino,64,
13,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,FOX,,,Femenino,64,1
14,CONDUCTOR,TAXI/REMIS,CHEVROLET,CORSA,,,Masculino,48,
15,CONDUCTOR,MOTO,GILERA,NO HAY DATOS,,,Masculino,22,
16,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CELTA,,,Masculino,35,
16,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CELTA,,,Masculino,35,1
17,CONDUCTOR,AUTO (no se especifica si es particular o de alquiler),FIAT,NO HAY DATOS,,,Masculino,26,
18,CONDUCTOR,AUTO PARTICULAR,HONDA WAVE,GOL,,,Masculino,69,
19,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,206,,,Femenino,33,
20,CONDUCTOR,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,63,
21,CONDUCTOR,MOTO,ZANELLA,PATAGONIAN,,,Masculino,65,
22,CONDUCTOR,CAMIONETA,FIAT,DUCATO,,,Masculino,42,
22,CONDUCTOR,CAMIONETA,CITROEN,BERLINGO,,,Masculino,47,
23,CONDUCTOR,AUTO PARTICULAR,FORD,FIESTA,,,Masculino,45,
24,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,POLO,,,Masculino,49,
25,CONDUCTOR,MOTO,YAMAHA,XTZ,,,Masculino,30,
26,CONDUCTOR,TAXI/REMIS,CHEVROLET,CORSA,,,Masculino,52,
26,CONDUCTOR,TAXI/REMIS,CHEVROLET,CORSA,,,Masculino,32,
27,CONDUCTOR,AUTO PARTICULAR,FIAT,UNO,,,Femenino,64,
27,CONDUCTOR,AUTO PARTICULAR,FIAT,UNO,,,Femenino,64,1
28,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 88,INT 57,Masculino,27,
29,CONDUCTOR,CAMIONETA,MERCEDES BENZ,NO HAY DATOS,,,Masculino,31,
30,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,ASTRA,,,Masculino,29,
31,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CRUZE,,,Masculino,54,
32,CONDUCTOR,AUTO PARTICULAR,CITROEN,C3,,,Masculino,52,
33,CONDUCTOR,MOTO,HONDA,XR 125,,,Masculino,27,
34,CONDUCTOR,AUTO PARTICULAR,TOYOTA,COROLLA,,,Masculino,34,
35,CONDUCTOR,AUTO PARTICULAR,FIAT,128,,,Masculino,52,
36,CONDUCTOR,SIN DATOS,,,,,Masculino,999,
37,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CLASICC,,,Masculino,60,
38,CONDUCTOR,MOTO,CORVEN,HUNTER 150,,,Masculino,30,
39,CONDUCTOR,AUTO PARTICULAR,FORD,ESCORT,,,Masculino,24,
40,CONDUCTOR,MOTO,GILERA,NO HAY DATOS,,,Masculino,68,
41,CONDUCTOR,AUTO PARTICULAR,FORD,KA,,,Masculino,38,
42,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 118,INT 7,Masculino,35,
42,CONDUCTOR,AUTO PARTICULAR,RENAULT,9,,,Masculino,25,
43,CONDUCTOR,AUTO PARTICULAR,RENAULT,KANGOO,,,Masculino,25,
44,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,GOL,,,Masculino,69,
45,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,207,,,Masculino,20,
46,CONDUCTOR,AUTO PARTICULAR,RENAULT,KANGOO,,,Femenino,36,
47,CONDUCTOR,CAMIONETA,CHEVROLET,MERIVA,,,Masculino,27,
48,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CORSA,,,Masculino,19,
48,CONDUCTOR,AUTO PARTICULAR,RENAULT,19,,,Masculino,44,
