ID,POINT_X,POINT_Y
1,-58.46947105,-34.6292856
2,-58.44701261,-34.62288732
3,-58.41303419,-34.63848524
4,-58.40516021,-34.56711912
5,-58.49791639,-34.67180932
6,-58.44100368,-34.63015496
7,-58.43188401,-34.6381222
8,,
9,-58.47130689,-34.68044323
10,-58.43845756,-34.56518971
11,-58.37735798,-34.6174523
12,-58.40278399,-34.5742764
13,-58.4664902,-34.56219023
14,-58.3905624,-34.58418604
15,-58.39950713,-34.65095806
16,-58.44877291,-34.59785249
17,-58.38138286,-34.61079506
18,-58.47658385,-34.57647935
19,-58.46345709,-34.63431935
20,-58.45944838,-34.61388565
21,-58.49961926,-34.55076793
22,-58.36725915,-34.61099847
23,-58.50220413,-34.65133243
24,-58.48238032,-34.6339424
25,-58.41733987,-34.61094243
26,-58.37603649,-34.61500058
27,-58.43538924,-34.58487243
28,-58.42151082,-34.62013515
29,-58.37337948,-34.6113898
30,-58.43374896,-34.61084003
31,-58.45656331,-34.60498626
32,-58.48918989,-34.56676935
33,-58.41089183,-34.60412426
34,-58.50064196,-34.55202806
35,-58.47965396,-34.59939051
36,-58.45060931,-34.56413542
37,-58.39327335,-34.6043818
38,-58.42113876,-34.65322288
39,-58.39625611,-34.64254243
40,-58.46122294,-34.70374567
41,-58.37935309,-34.58998301
42,-58.40042121,-34.62356295
43,-58.43602124,-34.65437079
44,-58.48962352,-34.64216029
45,-58.48515866,-34.60691463
46,-58.46360043,-34.6055501
47,-58.40055235,-34.60855706
48,-58.46796324,-34.63445847
49,-58.45670979,-34.62666705
50,-58.45162079,-34.55231251
51,-58.50758287,-34.60462489
52,-58.50720152,-34.65556365
53,-58.42891431,-34.61071737
54,-58.45577873,-34.55322589
55,-58.51981752,-34.66017634
56,-58.42807025,-34.65156758
57,-58.47249648,-34.54580225
58,,
59,-58.4120941,-34.62496924
60,-58.41338878,-34.5928067
61,-58.40986369,-34.57728071
62,-58.42309458,-34.65739236
63,-58.49360864,-34.66796228
64,-58.38113298,-34.6176544
65,-58.37778114,-34.60880173
66,-58.36593624,-34.62266206
67,-58.48343636,-34.64949651
68,-58.48419444,-34.64673869
69,-58.36929791,-34.61838502
70,-58.49302003,-34.56830504
71,-58.38204643,-34.59422682
72,-58.40600624,-34.60929946
73,-58.41595116,-34.60946312
74,-58.39916236,-34.63112424
75,-58.37981856,-34.62721457
76,-58.38142245,-34.59508973
77,-58.40910553,-34.62240753
78,-58.44443,-34.60898893
79,-58.47407253,-34.55588089
80,-58.37084215,-34.64616393
81,-58.36692273,-34.63521431
82,-58.44248624,-34.66101898
83,-58.52593568,-34.64668236
84,-58.49204251,-34.58577538
85,-58.40888228,-34.61033545
86,-58.45022987,-34.6188679
87,-58.42828606,-34.62688276
88,-58.37817646,-34.60122045
89,-58.42891431,-34.61071737
90,-58.46174168,-34.62720502
91,-58.45430103,-34.55495045
92,-58.38095594,-34.60403654
93,-58.47108,-34.54875367
94,-58.46514707,-34.53465264
95,-58.37064679,-34.59581875
96,-58.42324474,-34.57116818
97,-58.41615094,-34.64418226
98,-58.46627589,-34.69443569
99,-58.43017077,-34.60225627
100,-58.44353815,-34.59547166
101,-58.53034357,-34.61813469
102,-58.39751452,-34.61846238
103,-58.47119323,-34.63113014
104,-58.46305174,-34.60666535
105,-58.4076855,-34.5816807
106,-58.47504532,-34.6336599
107,-58.50546594,-34.66209424
108,-58.42186274,-34.59820911
109,-58.45856619,-34.56314118
110,-58.43221042,-34.59949571
111,-58.51522999,-34.61720351
112,-58.39919294,-34.61500803
113,-58.42699,-34.5853107
114,-58.40583753,-34.61126382
115,-58.42494194,-34.59208453
116,-58.47188112,-34.65983095
117,-58.49961926,-34.55076793
118,-58.40094808,-34.58704671
119,-58.48381634,-34.60439724
120,-58.37130073,-34.58939803
121,-58.39293085,-34.59963711
122,-58.38095594,-34.60403654
123,-58.35881038,-34.61113754
124,-58.39319888,-34.61823415
125,-58.36685504,-34.61457715
126,-58.48493905,-34.62981217
127,-58.37977699,-34.62372468
128,-58.41258371,-34.61550806
129,-58.39775011,-34.63064933
130,,
131,-58.50325609,-34.60135971
132,-58.39883589,-34.61964946
133,-58.42255884,-34.57569876
134,-58.45383645,-34.56038524
