ORDEN,ID,Fuente,PERIODO,COMISARIA,FECHA,HORA,TIPO_COLISION,TIPO_HECHO,LUGAR_DEL_HECHO,DIRECCION_NORMALIZADA,TIPO_DE_CALLE,Dirección Normalizada (ArcGIS),Calle,Altura,Cruce,Código de Calle,Código de Cruce,Geocodificación,Franja horaria,Día de la semana,Semestre,repetido,Franja etaria acusado,Franja etaria victima
434,1,POLICIA FEDERAL 2015,ENERO,38,01/01/2015,7:10:00 AM,VEHICULO - VEHICULO,COLISION,2850 YERBAL,YERBAL 2850,CALLE,2850 YERBAL,YERBAL,2850,0,26003,0,POINT(99434.1139023 99998.2519356),0,Thursday,0,0,1,3
388,2,POLICIA FEDERAL 2015,ENERO,12,01/01/2015,6:30:00 AM,VEHICULO - VEHICULO,COLISION,AV RIVADAVIA Y PAYSANDU,RIVADAVIA AV. y PAYSANDU,AVENIDA,RIVADAVIA AV. & PAYSANDU,RIVADAVIA AV.,0,PAYSANDU,19046,17040,POINT(101493.6171875 100707.9453125),0,Thursday,0,0,2,3
241,3,POLICIA FEDERAL 2015,ENERO,32,01/01/2015,5:15:00 PM,VEHICULO - MOTO,COLISION,AV. CASEROS 3400,CASEROS AV. 3400,AVENIDA,3400 CASEROS AV.,CASEROS AV.,3400,0,3085,0,POINT(104608.755311 98976.5988083),0,Thursday,0,0,0,3
242,3,POLICIA FEDERAL 2015,ENERO,32,01/01/2015,5:15:00 PM,MOTO - MOTO,COLISION,AV. CASEROS 3400,CASEROS AV. 3400,AVENIDA,3400 CASEROS AV.,CASEROS AV.,3400,0,3085,0,POINT(104608.755311 98976.5988083),0,Thursday,0,1,0,3
173,4,POLICIA FEDERAL 2015,ENERO,23,01/01/2015,7:20:00 AM,VEHICULO - MOTO,COLISION,AV. SARMIENTO Y BAJADA AUTOPISTA ILLIA,SARMIENTO AV. y AUTOPISTA ARTURO ILLIA,AVENIDA + AUTOPISTA,SARMIENTO AV. & AUTOPISTA ARTURO ILLIA,SARMIENTO AV.,0,AUTOPISTA ARTURO ILLIA,20075,99483,POINT(105335.21904752 106893.095834542),0,Thursday,0,0,1,4
647,5,POLICIA FEDERAL 2015,ENERO,48,01/01/2015,3:25:00 AM,VEHICULO - PEATON,ATROPELLO,AV.EVA PERON Y GUAMINI,"PERON, EVA AV. y GUAMINI",AVENIDA,"PERON, EVA AV. & GUAMINI","PERON, EVA AV.",0,GUAMINI,4056,7088,POINT(96827.3828125 95280.375),1,Thursday,0,0,0,3
390,6,POLICIA FEDERAL 2015,ENERO,12,01/01/2015,3:00:00 AM,VEHICULO - MOTO,COLISION,CACHIMAYO Y AV EVA PERON,"CACHIMAYO y PERON, EVA AV.",AVENIDA,"CACHIMAYO & PERON, EVA AV.",CACHIMAYO,0,"PERON, EVA AV.",3013,4056,POINT(102044.4921875 99901.6171875),1,Thursday,0,0,999,3
389,7,POLICIA FEDERAL 2015,ENERO,12,01/01/2015,10:00:00 AM,VEHICULO - VEHICULO,COLISION,J.M.MORENO Y SARAZA,"MORENO, JOSE MARIA AV. y SARAZA",AVENIDA,"MORENO, JOSE MARIA AV. & SARAZA","MORENO, JOSE MARIA AV.",0,SARAZA,13128,20073,POINT(102880.46875 99017.5625),0,Thursday,0,0,0,4
332,8,POLICIA FEDERAL 2015,ENERO,37,01/01/2015,8:20:00 AM,VEHICULO - MOTO,COLISION,MANUEL UGARTE Y PLAZA,,CALLE,,,,,,,,0,Thursday,0,0,999,2
680,9,POLICIA FEDERAL 2015,ENERO,52,01/01/2015,12:50:00 AM,VEHICULO - MOTO,COLISION,MURGUIONDO 4611,MURGUIONDO 4611,CALLE,4611 MURGUIONDO,MURGUIONDO,4611,0,13145,0,POINT(99266.2554709 94323.1059723),1,Thursday,0,0,0,3
