ID,CAUSA,VICTIMA,TIPO_VEHICULO_VICTIMA,MARCA_VEHICULO_VICTIMA,MODELO_VEHICULO_VICTIMA,COLECTIVO_VICTIMA,INTERNO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,SRIO_NRO,repetido
1,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,RENAULT,19,,,Masculino,26,2,
2,LESIONES,CONDUCTOR,AUTO PFA / MOVIL / GENDARMERIA / METROPOLITANA / MOTO MOVIL,CHEVROLET,CORSA,,,Masculino,31,3,
3,LESIONES,PASAJERO/ACOMPA�ANTE,MOTO,YAMAHA,NO HAY DATOS,,,Femenino,28,21,
3,LESIONES,PASAJERO/ACOMPA�ANTE,MOTO,YAMAHA,NO HAY DATOS,,,Femenino,28,21,1
4,LESIONES,CONDUCTOR,MOTO,ZANELLA,RX 150,,,Masculino,37,3,
5,HOMICIDIO,PEATON,PEATON,,,,,Masculino,27,3,
6,LESIONES,CONDUCTOR,MOTO,BRAVA,ALTINO 150,,,Masculino,30,8,
7,LESIONES,CONDUCTOR,AUTO PFA / MOVIL / GENDARMERIA / METROPOLITANA / MOTO MOVIL,FORD,FOCUS,,,Masculino,35,5,
8,LESIONES,CONDUCTOR,MOTO,HONDA,CBX 250,,,Masculino,21,2,
9,LESIONES,CONDUCTOR,MOTO,CORVEN,HUNTER,,,Masculino,25,1,
10,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO (no se especifica si es particular o de alquiler),SIN DATOS,NO HAY DATOS,,,Femenino,60,33,
10,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO (no se especifica si es particular o de alquiler),SIN DATOS,NO HAY DATOS,,,Femenino,60,33,1
11,HOMICIDIO,CONDUCTOR,MOTO,CORVEN,150,,,Masculino,18,1,
12,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,HONDA,CIVIC,,,Femenino,24,1,
13,LESIONES,CONDUCTOR,MOTO,KAWASAKI,KLX 250,,,Masculino,33,309,
13,LESIONES,CONDUCTOR,MOTO,KAWASAKI,KLX 250,,,Masculino,33,309,1
14,LESIONES,CICLISTA,SIN DATOS,,,,,Masculino,25,346,
15,LESIONES,PASAJERO/ACOMPA�ANTE,MOTO,GILERA,NO HAY DATOS,,,Femenino,23,564,
16,LESIONES,CONDUCTOR,MOTO,MOTOMEL,1500,,,Masculino,19,198,
16,LESIONES,CONDUCTOR,MOTO,MOTOMEL,1500,,,Masculino,19,198,1
17,LESIONES,CONDUCTOR,MOTO,HONDA,XR 125,,,Masculino,32,217,
18,LESIONES,CONDUCTOR,MOTO,JIANSHE,NO HAY DATOS,,,Masculino,20,300,
19,LESIONES,PEATON,PEATON,,,,,Masculino,49,652,
20,LESIONES,CONDUCTOR,AUTO PARTICULAR,FIAT,TIPO,,,Masculino,18,348,
21,LESIONES,PASAJERO/ACOMPA�ANTE,MOTO,ZANELLA,PATAGONIAN,,,Femenino,55,224,
22,LESIONES,CONDUCTOR,CAMIONETA,PEUGEOT,PARTNER,,,Masculino,29,66,
22,LESIONES,CONDUCTOR,CAMIONETA,PEUGEOT,PARTNER,,,Masculino,29,66,1
23,LESIONES,PEATON,PEATON,,,,,Masculino,29,65,
24,LESIONES,PEATON,PEATON,,,,,Masculino,24,553,
25,LESIONES,CONDUCTOR,AUTO PARTICULAR,FORD,GALAXY,,,Masculino,53,412,
26,HOMICIDIO,CONDUCTOR,MOTO,YAMAHA,FZ,,,Masculino,32,341,
26,HOMICIDIO,PASAJERO/ACOMPA�ANTE,MOTO,YAMAHA,FZ,,,Masculino,999,341,
27,LESIONES,CONDUCTOR,MOTO,GILERA,FOX,,,Masculino,55,420,
27,LESIONES,CONDUCTOR,MOTO,GILERA,FOX,,,Masculino,55,420,1
28,LESIONES,CICLISTA,BICICLETA,OLMO,R 26,,,Femenino,29,452,
29,LESIONES,CONDUCTOR,MOTO,YAMAHA,YBR 125,,,Masculino,31,352,
30,LESIONES,CICLISTA,BICICLETA,SIN DATOS,NO HAY DATOS,,,Femenino,29,344,
31,LESIONES,CONDUCTOR,MOTO,HONDA,CG  125,,,Masculino,26,239,
32,LESIONES,CONDUCTOR,MOTO,HONDA,CG TITAN,,,Masculino,19,470,
33,LESIONES,PEATON,PEATON,,,,,Femenino,45,971,
34,LESIONES,CONDUCTOR,AUTO PARTICULAR,RENAULT,CLIO,,,Femenino,39,467,
35,LESIONES,CICLISTA,BICICLETA,SIN DATOS,NO HAY DATOS,,,Femenino,24,584,
36,LESIONES,CICLISTA,BICICLETA,SIN DATOS,NO HAY DATOS,,,Masculino,17,847,
37,LESIONES,CONDUCTOR,MOTO,YAMAHA,XTZ,,,Masculino,31,492,
38,LESIONES,PASAJERO/ACOMPA�ANTE,SIN DATOS,,,,,Masculino,31,767,
39,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,FORD,ESCORT,,,Masculino,24,475,
40,LESIONES,CONDUCTOR,MOTO,YAMAHA,250,,,Femenino,31,769,
41,LESIONES,CICLISTA,BICICLETA,SIN DATOS,MONTAIN BIKE,,,Masculino,40,379,
42,LESIONES,PASAJERO/ACOMPA�ANTE,TRANSPORTE PUBLICO,,,LINEA 118,INT 7,Femenino,73,614,
42,LESIONES,PASAJERO/ACOMPA�ANTE,TRANSPORTE PUBLICO,,,LINEA 118,INT 7,Femenino,73,614,1
43,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,RENAULT,KANGOO,,,Masculino,21,1064,
44,LESIONES,CONDUCTOR,AUTO PARTICULAR,RENAULT,9,,,Femenino,72,1067,
45,LESIONES,PEATON,PEATON,,,,,Masculino,25,578,
46,LESIONES,CONDUCTOR,AUTO PARTICULAR,FIAT,PALIO,,,Masculino,42,469,
47,LESIONES,CONDUCTOR,MOTO,MOTOMEL,VX 150,,,Masculino,30,829,
48,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,RENAULT,19,,,Femenino,40,1290,
48,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,RENAULT,19,,,Femenino,40,1290,1
49,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,RENAULT,KANGOO,,,Femenino,29,1292,
49,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,RENAULT,KANGOO,,,Femenino,29,1292,1
49,LESIONES,PASAJERO/ACOMPA�ANTE,AUTO PARTICULAR,RENAULT,KANGOO,,,Femenino,29,1292,1
50,LESIONES,CONDUCTOR,MOTO,ZANELLA,RX 150,,,Masculino,41,345,
51,LESIONES,CONDUCTOR,MOTO,HONDA,CG  150 CC,,,Masculino,29,687,
52,LESIONES,PASAJERO/ACOMPA�ANTE,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,25,912,
53,LESIONES,CONDUCTOR,MOTO,MOTOMEL,150,,,Femenino,23,633,
54,LESIONES,CICLISTA,BICICLETA,SIN DATOS,NO HAY DATOS,,,Masculino,17,1271,
55,LESIONES,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CORSA,,,Masculino,32,1365,
55,LESIONES,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CORSA,,,Masculino,32,1365,1
